,cond_vol
441,-2770.6764336666793
442,-4637.640091347257
443,-1249.4915849880051
444,-422.8859902333861
445,1525.8844069208158
446,1096.6062558923888
447,-938.3502423956278
448,-883.8263564637986
449,239.6455938127493
450,-3107.996824869232
451,4087.2546131912677
452,-2243.4556084081883
453,-665.3670047191513
454,-4311.82718307927
455,-1891.626565914178
456,-126.29266486210055
457,236.16561813040653
458,2850.741012323756
459,6972.192347180991
460,6686.110404941859
461,215.0996760350804
462,1339.118487252485
463,-2496.099529342219
464,-96.15158220517456
465,-5995.593952133445
466,6096.589508481607
467,-1193.1932758070884
468,-109.2119474885373
469,123.68394475373323
470,195.71909720283443
471,-3404.158390353267
472,1019.5878578309474
473,152.6733310816071
474,2877.916643393432
475,-1823.0259932545534
476,315.9863039424414
477,717.5559841746723
478,471.1893715082008
479,1139.3653866863103
480,-1137.3894304669902
481,2724.2149857727245
482,654.4916297849351
483,-802.9580244717486
484,192.68928070755453
485,1053.8758597175975
486,-1263.6550240444144
487,2285.143098531609
488,3704.501467529285
489,976.0655198780281
490,-2177.0636000834124
491,-3270.8788038048992
492,1787.6011499329804
493,1531.190270768308
494,-1550.3079265599795
495,255.5351340033253
496,557.6194159252158
497,745.6607120813622
498,-1409.1690974157098
499,-239.43774347106927
500,-575.0176301430688
501,660.2085071171514
502,2005.1999626013887
503,-494.6624525667387
504,1503.182083898318
505,507.8254753157345
506,862.961992056522
507,-1490.0652777907126
508,1035.035307109253
509,1606.353793056532
510,-1019.2252671253746
511,1709.048359922979
512,-661.6731952130984
513,1736.0772080381114
