"","tanggal","brgkt","tiba"
"308",2021-01-22,2576,2602
"309",2021-01-23,2671,2447
"310",2021-01-24,3101,3338
"311",2021-01-25,2469,2601
"312",2021-01-26,3093,3285
"313",2021-01-27,2915,3390
"314",2021-01-28,3051,3483
"315",2021-01-29,2951,2853
"316",2021-01-30,3094,3002
"317",2021-01-31,2931,3453
"318",2021-02-01,2852,3126
"319",2021-02-02,3009,3015
"320",2021-02-03,3425,3664
"321",2021-02-04,3372,3267
"322",2021-02-05,3174,3049
"323",2021-02-06,3277,3225
"324",2021-02-07,2686,3205
"325",2021-02-08,2476,2856
"326",2021-02-09,3414,3358
"327",2021-02-10,4033,3823
"328",2021-02-11,4236,3507
"329",2021-02-12,3533,2671
"330",2021-02-13,2492,2327
"331",2021-02-14,2717,3262
"332",2021-02-15,3104,3797
"333",2021-02-16,3286,3744
"334",2021-02-17,4027,3650
"335",2021-02-18,3199,3396
"336",2021-02-19,3632,3278
"337",2021-02-20,3320,3092
"338",2021-02-21,3083,3579
"339",2021-02-22,2368,2810
"340",2021-02-23,2929,3323
"341",2021-02-24,3615,3765
"342",2021-02-25,3650,3500
"343",2021-02-26,3327,2930
"344",2021-02-27,3999,3316
"345",2021-02-28,3609,3968
"346",2021-03-01,2578,2889
"347",2021-03-02,3128,3288
"348",2021-03-03,3674,3476
"349",2021-03-04,3410,3330
"350",2021-03-05,3665,2985
"351",2021-03-06,3686,3273
"352",2021-03-07,2966,3071
"353",2021-03-08,2939,2964
"354",2021-03-09,3417,3103
"355",2021-03-10,4335,3557
"356",2021-03-11,4631,3898
"357",2021-03-12,3085,2567
"358",2021-03-13,3402,3283
"359",2021-03-14,3704,4361
"360",2021-03-15,3309,3681
"361",2021-03-16,3621,3771
"362",2021-03-17,3910,4036
"363",2021-03-18,3596,3449
"364",2021-03-19,3891,3542
"365",2021-03-20,4087,3585
"366",2021-03-21,3676,4170
"367",2021-03-22,3090,3423
"368",2021-03-23,3491,3739
"369",2021-03-24,4043,4056
"370",2021-03-25,4149,3582
"371",2021-03-26,4216,3411
"372",2021-03-27,3386,3467
"373",2021-03-28,4191,3907
"374",2021-03-29,3006,3094
"375",2021-03-30,3938,3824
"376",2021-03-31,4603,3969
"377",2021-04-01,5381,4082
"378",2021-04-02,5528,4211
"379",2021-04-03,3812,3296
"380",2021-04-04,4753,4741
"381",2021-04-05,4351,4463
"382",2021-04-06,4657,4841
"383",2021-04-07,5217,4839
"384",2021-04-08,5949,4657
"385",2021-04-09,4998,4287
"386",2021-04-10,5953,5073
"387",2021-04-11,5443,5733
"388",2021-04-12,3958,3888
"389",2021-04-13,3812,3498
"390",2021-04-14,3305,3340
"391",2021-04-15,3888,4050
"392",2021-04-16,3543,2871
"393",2021-04-17,3491,3227
"394",2021-04-18,4139,4345
"395",2021-04-19,3150,3227
"396",2021-04-20,3150,3229
"397",2021-04-21,3823,3570
"398",2021-04-22,3903,3444
"399",2021-04-23,4497,3581
"400",2021-04-24,4765,3893
"401",2021-04-25,5100,4401
"402",2021-04-26,3664,3019
"403",2021-04-27,3648,3394
"404",2021-04-28,4365,3571
"405",2021-04-29,4905,3648
"406",2021-04-30,6330,4130
"407",2021-05-01,6611,3610
"408",2021-05-02,6355,4273
"409",2021-05-03,6699,3818
"410",2021-05-04,7335,4431
"411",2021-05-05,8127,5011
"412",2021-05-06,284,236
"413",2021-05-07,216,212
"414",2021-05-08,422,234
"415",2021-05-09,393,284
"416",2021-05-10,304,225
"417",2021-05-11,683,220
"418",2021-05-12,264,185
"419",2021-05-13,81,68
"420",2021-05-14,204,79
"421",2021-05-15,157,103
"422",2021-05-16,221,146
"423",2021-05-17,475,551
"424",2021-05-18,6882,6538
"425",2021-05-19,6321,6469
"426",2021-05-20,6281,6486
"427",2021-05-21,6266,6167
"428",2021-05-22,5919,6003
"429",2021-05-23,5819,6446
"430",2021-05-24,5214,5600
"431",2021-05-25,5992,6365
"432",2021-05-26,6505,6663
"433",2021-05-27,5632,6112
"434",2021-05-28,5768,6177
"435",2021-05-29,5898,6320
"436",2021-05-30,5401,6421
"437",2021-05-31,4256,5722
"438",2021-06-01,5704,6476
"439",2021-06-02,5102,6177
"440",2021-06-03,5161,6056
"441",2021-06-04,5359,6130
"442",2021-06-05,5684,6159
"443",2021-06-06,5198,6142
"444",2021-06-07,4572,5976
"445",2021-06-08,4967,6003
"446",2021-06-09,5208,6071
"447",2021-06-10,5284,6238
"448",2021-06-11,5430,5730
"449",2021-06-12,5655,5976
"450",2021-06-13,5003,6152
"451",2021-06-14,4439,6460
"452",2021-06-15,4415,5799
"453",2021-06-16,5434,5820
"454",2021-06-17,5408,5453
"455",2021-06-18,5972,5580
"456",2021-06-19,5821,5322
"457",2021-06-20,5829,6121
"458",2021-06-21,4686,5325
"459",2021-06-22,4580,4924
"460",2021-06-23,4844,5134
"461",2021-06-24,4384,4760
"462",2021-06-25,4997,5230
"463",2021-06-26,4908,5089
"464",2021-06-27,4739,5360
"465",2021-06-28,3825,4795
"466",2021-06-29,5083,4706
"467",2021-06-30,4799,5126
"468",2021-07-01,4427,4510
