"","as.character(dt[1:435, ""tanggal""])","model_fix$residuals"
"199","2023-10-16","-132.444937156867"
"200","2023-10-17","-155.161672373746"
"201","2023-10-18","27.6640852565427"
"202","2023-10-19","-500.462541855555"
"203","2023-10-20","829.814084375382"
"204","2023-10-21","-1760.49366196134"
"205","2023-10-22","252.241819379396"
"206","2023-10-23","219.063182130496"
"207","2023-10-24","-479.077260947567"
"208","2023-10-25","776.760001898249"
"209","2023-10-26","2074.11920858572"
"210","2023-10-27","-811.64187880215"
"211","2023-10-28","760.825032633306"
"212","2023-10-29","-2438.70575904227"
"213","2023-10-30","1520.22673293078"
"214","2023-10-31","-1437.63831888977"
"215","2023-11-01","-137.947683716811"
"216","2023-11-02","951.25318832646"
"217","2023-11-03","44.4985957132463"
"218","2023-11-04","-806.929624268483"
"219","2023-11-05","-380.042528880998"
"220","2023-11-06","845.787172218858"
"221","2023-11-07","-1015.2781412942"
"222","2023-11-08","34.2929846702238"
"223","2023-11-09","472.298081507629"
"224","2023-11-10","845.882842696001"
"225","2023-11-11","-1708.74911496434"
"226","2023-11-12","630.722997046959"
"227","2023-11-13","381.321465412532"
"228","2023-11-14","-1400.24064034656"
"229","2023-11-15","1342.47969116648"
"230","2023-11-16","477.503571825909"
"231","2023-11-17","-17.2270576291875"
"232","2023-11-18","-448.38814225808"
"233","2023-11-19","560.029749070751"
"234","2023-11-20","897.126387088563"
"235","2023-11-21","-2370.39602347992"
"236","2023-11-22","138.252944734535"
"237","2023-11-23","-124.322811538891"
"238","2023-11-24","768.552369571224"
"239","2023-11-25","303.08833302706"
"240","2023-11-26","427.995669224002"
"241","2023-11-27","1066.87529042194"
"242","2023-11-28","-1814.13202584073"
"243","2023-11-29","-1167.86794032947"
"244","2023-11-30","541.38348760495"
"245","2023-12-01","-328.910704376349"
"246","2023-12-02","-1923.52856044011"
"247","2023-12-03","-282.199675868021"
"248","2023-12-04","41.4622529489952"
"249","2023-12-05","-457.75408295408"
"250","2023-12-06","1008.98223740172"
"251","2023-12-07","-173.414145547073"
"252","2023-12-08","1089.79613552188"
"253","2023-12-09","118.01622785661"
"254","2023-12-10","1044.71620075189"
"255","2023-12-11","-736.191570434851"
"256","2023-12-12","-1625.22684001782"
"257","2023-12-13","934.229872893557"
"258","2023-12-14","165.017497737553"
"259","2023-12-15","1298.23926860639"
"260","2023-12-16","885.055466893074"
"261","2023-12-17","350.147114970064"
"262","2023-12-18","-1861.40754774957"
"263","2023-12-19","-1860.38409157224"
"264","2023-12-20","2907.80555232517"
"265","2023-12-21","207.1391966333"
"266","2023-12-22","1434.21947279131"
"267","2023-12-23","2249.18899697168"
"268","2023-12-24","-3937.50956220675"
"269","2023-12-25","-1484.6086906321"
"270","2023-12-26","748.680531417994"
"271","2023-12-27","-2724.96813343931"
"272","2023-12-28","-582.46408158037"
"273","2023-12-29","-1255.75037820002"
"274","2023-12-30","-32.9951016132228"
"275","2023-12-31","-3609.30660640923"
"276","2024-01-01","996.657638768478"
"277","2024-01-02","3118.13272794062"
"278","2024-01-03","-534.655715566051"
"279","2024-01-04","-184.269430093908"
"280","2024-01-05","-2576.56403578736"
"281","2024-01-06","-527.631355957697"
"282","2024-01-07","2562.52286366681"
"283","2024-01-08","-2765.90572276209"
"284","2024-01-09","-2508.78325035285"
"285","2024-01-10","2731.92397950218"
"286","2024-01-11","61.1646270496793"
"287","2024-01-12","-831.391825979081"
"288","2024-01-13","-1764.78473048499"
"289","2024-01-14","1595.65385031416"
"290","2024-01-15","1484.0193291914"
"291","2024-01-16","-487.810863345124"
"292","2024-01-17","-4517.86055966744"
"293","2024-01-18","3643.67953002111"
"294","2024-01-19","809.983941926126"
"295","2024-01-20","-1925.67432256076"
"296","2024-01-21","-2685.89868360275"
"297","2024-01-22","2338.36248095168"
"298","2024-01-23","955.080592683724"
"299","2024-01-24","-1450.88673077491"
"300","2024-01-26","1314.64733109682"
"301","2024-01-27","-2118.95763865176"
"302","2024-01-28","1757.60085548713"
"303","2024-01-29","-2951.73835882283"
"304","2024-01-30","1247.77036778369"
"305","2024-01-31","1061.35430859871"
"306","2024-02-01","-3678.10015279816"
"307","2024-02-02","1239.81468044888"
"308","2024-02-03","-3967.40601304817"
"309","2024-02-04","4344.73021183648"
"310","2024-02-05","-1222.55473920406"
"311","2024-02-06","-822.385239512567"
"312","2024-02-07","-1233.74314446538"
"313","2024-02-08","2207.29649996767"
"314","2024-02-09","-1265.21595575523"
"315","2024-02-10","-1947.43075005496"
"316","2024-02-11","3807.55363290333"
"317","2024-02-12","1556.46306241165"
"318","2024-02-13","-1199.65925151852"
"319","2024-02-14","-1873.48594619268"
"320","2024-02-15","1518.92877923971"
"321","2024-02-16","-793.920002804574"
"322","2024-02-17","-2366.16522009497"
"323","2024-02-18","3497.29135659148"
"324","2024-02-19","2347.01709570449"
"325","2024-02-20","444.711205095157"
"326","2024-02-21","2371.2789934189"
"327","2024-02-22","-3514.94049136431"
"328","2024-02-23","4570.92203205317"
"329","2024-02-24","-2909.87388587661"
"330","2024-02-25","1651.11598074608"
"331","2024-02-26","-2021.43419659813"
"332","2024-02-27","1935.55529338083"
"333","2024-02-28","4070.26980066917"
"334","2024-02-29","-4522.72188442444"
"335","2024-03-01","-1650.84665798206"
"336","2024-03-06","5968.49292604334"
"337","2024-03-07","980.144589156245"
"338","2024-03-08","1916.29552052293"
"339","2024-03-09","-1096.42100265802"
"340","2024-03-10","123.007084509127"
"341","2024-03-11","-4766.9082090412"
"342","2024-03-12","131.004298121699"
"343","2024-03-13","-3187.41678783595"
"344","2024-03-14","-11.3654508447921"
"345","2024-03-15","-1796.03054073973"
"346","2024-03-16","1273.53001033985"
"347","2024-03-17","-925.900819524259"
"348","2024-03-18","-1980.7714787965"
"349","2024-03-19","222.905922056543"
"350","2024-03-20","2905.4396687018"
"351","2024-03-21","-2799.08062588352"
"352","2024-03-24","456.160352388794"
"353","2024-03-25","493.205990875726"
"354","2024-03-26","161.655903023798"
"355","2024-03-27","1287.05296719935"
"356","2024-03-28","751.174539462492"
"357","2024-03-29","1602.37332030907"
"358","2024-03-30","363.3428341758"
"359","2024-03-31","711.490129578124"
"360","2024-04-01","1927.2644660654"
"361","2024-04-02","3213.92278425189"
"362","2024-04-03","1634.61820164905"
"363","2024-04-04","3015.60300620186"
"364","2024-04-05","4265.84246030779"
"365","2024-04-06","3605.11422564234"
"366","2024-04-07","-539.860552830604"
"367","2024-04-08","489.312390477452"
"368","2024-04-09","-1834.26159617178"
"369","2024-04-10","-7979.24405208636"
"370","2024-04-11","-4417.49051416284"
"371","2024-04-12","430.81021542325"
"372","2024-04-13","24.897334432268"
"373","2024-04-14","5989.43360932329"
"374","2024-04-15","5154.33688230609"
"375","2024-04-16","1998.70960746384"
"376","2024-04-17","-968.282871214871"
"377","2024-04-18","-489.384388870803"
"378","2024-04-19","-149.451117476867"
"379","2024-04-20","2316.73967391415"
"380","2024-04-21","937.01128387099"
"381","2024-04-22","-2537.63856376573"
"382","2024-04-23","-835.15670575033"
"383","2024-04-24","-75.5874356966962"
"384","2024-04-25","-2072.90326288202"
"385","2024-04-26","-223.174079785706"
"386","2024-04-27","-308.949381460476"
"387","2024-04-28","-456.284795994183"
"388","2024-04-29","-967.280698994207"
"389","2024-04-30","589.128336255284"
"390","2024-05-01","-237.538442903288"
"391","2024-05-02","-1718.40256472915"
"392","2024-05-03","948.373192493751"
"393","2024-05-04","-1442.81087112223"
"394","2024-05-05","720.055997705779"
"395","2024-05-06","-488.309889302794"
"396","2024-05-07","-1030.98797880486"
"397","2024-05-08","2019.40849727305"
"398","2024-05-09","-916.663731853777"
"399","2024-05-10","-2316.89244250264"
"400","2024-05-11","-1971.83466303546"
"401","2024-05-12","1515.89375628637"
"402","2024-05-13","-569.022338771596"
"403","2024-05-14","-523.104291560899"
"404","2024-05-15","693.052738498515"
"405","2024-05-16","-439.44057208946"
"406","2024-05-17","1648.66463766699"
"407","2024-05-18","-1758.08206020957"
"408","2024-05-19","-463.789256405057"
"409","2024-05-20","101.697155490987"
"410","2024-05-21","-1748.42723495283"
"411","2024-05-22","856.917941667301"
"412","2024-05-23","-304.164584656031"
"413","2024-05-24","-1425.48936900074"
"414","2024-05-25","-1721.85786489394"
"415","2024-05-26","2709.19856626196"
"416","2024-05-27","-963.184040698074"
"417","2024-05-28","-225.456366925014"
"418","2024-05-29","-2183.82421979982"
"419","2024-05-30","1459.59541099359"
"420","2024-05-31","70.9331875995091"
"421","2024-06-01","-65.8179962551222"
"422","2024-06-02","103.505080024676"
"423","2024-06-03","627.546379504243"
"424","2024-06-04","67.9564652342511"
"425","2024-06-05","1160.79372586745"
"426","2024-06-06","1068.12445344823"
"427","2024-06-07","621.457775266378"
"428","2024-06-08","-617.095568602109"
"429","2024-06-09","10.0572702695631"
"430","2024-06-10","516.470045353581"
"431","2024-06-11","-566.168135499504"
"432","2024-06-12","817.752400283644"
"433","2024-06-13","-540.678177554346"
"434","2024-06-14","3169.02907487532"
"435","2024-06-15","-103.835327213726"
