"Tanggal","ID.Prasarana","Prasarana","Penumpang.Berangkat","Penumpang.Berangkat.Domestik","Penumpang.Berangkat.Internasional","Penumpang.Tiba","Penumpang.Tiba.Domestik","Penumpang.Tiba.Internasional","Pesawat.Tiba.Domestik","Pesawat.Tiba.Internasional","Pesawat.Berangkat.Domestik","Pesawat.Berangkat.Internasional"
"2023-08-27","BPN","Sepinggan",6753,6594,159,7222,7045,177,58,2,61,3
"2023-08-28","BPN","Sepinggan",6066,5888,178,7106,7025,81,60,1,61,2
"2023-08-29","BPN","Sepinggan",5918,5918,0,6020,6020,0,62,1,66,1
"2023-08-30","BPN","Sepinggan",7205,6917,288,7375,6954,421,68,4,61,2
"2023-08-31","BPN","Sepinggan",6607,6607,0,6494,6494,0,61,1,63,2
"2023-09-01","BPN","Sepinggan",6803,6713,90,6751,6572,179,66,2,61,1
"2023-09-02","BPN","Sepinggan",6492,6293,199,6432,6429,3,61,2,61,3
"2023-09-03","BPN","Sepinggan",6590,6427,163,7182,7036,146,61,2,62,2
"2023-09-04","BPN","Sepinggan",6000,5820,180,6963,6850,113,66,1,63,3
"2023-09-05","BPN","Sepinggan",6053,6053,0,6344,6344,0,61,1,57,2
"2023-09-06","BPN","Sepinggan",6798,6487,311,8243,7842,401,67,5,64,4
"2023-09-07","BPN","Sepinggan",6446,6446,0,6099,6099,0,60,1,57,2
"2023-09-08","BPN","Sepinggan",6949,6773,176,6813,6649,164,67,2,67,3
"2023-09-09","BPN","Sepinggan",6078,5900,178,6294,6294,0,61,1,60,3
"2023-09-10","BPN","Sepinggan",6333,6224,109,7046,6932,114,60,2,62,2
"2023-09-11","BPN","Sepinggan",5989,5820,169,6978,6903,75,68,1,70,3
"2023-09-12","BPN","Sepinggan",5853,5853,0,6148,6148,0,63,1,61,2
"2023-09-13","BPN","Sepinggan",7407,7170,237,7331,6912,419,66,4,66,4
"2023-09-14","BPN","Sepinggan",6707,6707,0,5954,5954,0,59,1,60,2
"2023-09-15","BPN","Sepinggan",7335,7216,119,6622,6444,178,74,2,68,2
"2023-09-16","BPN","Sepinggan",6170,6011,159,6103,6103,0,59,1,59,2
"2023-09-17","BPN","Sepinggan",6706,6615,91,7596,7459,137,61,2,63,2
"2023-09-18","BPN","Sepinggan",6143,5994,149,7345,7256,89,66,1,68,1
"2023-09-19","BPN","Sepinggan",5777,5777,0,6464,6464,0,64,1,61,2
"2023-09-20","BPN","Sepinggan",7451,7194,257,7537,7176,361,66,4,66,4
"2023-09-21","BPN","Sepinggan",6617,6617,0,6392,6392,0,70,2,62,2
"2023-09-22","BPN","Sepinggan",6865,6760,105,6421,6245,176,68,2,67,2
"2023-09-23","BPN","Sepinggan",6817,6636,181,6345,6345,0,58,1,65,2
"2023-09-24","BPN","Sepinggan",7057,6889,168,6832,6700,132,58,2,60,2
"2023-09-25","BPN","Sepinggan",6580,6408,172,6800,6696,104,60,1,60,2
"2023-09-26","BPN","Sepinggan",6020,6020,0,5138,5138,0,57,2,56,3
"2023-09-27","BPN","Sepinggan",5468,5113,355,5086,4869,217,54,4,53,2
"2023-09-28","BPN","Sepinggan",6914,6914,0,6659,6659,0,58,1,58,1
"2023-09-29","BPN","Sepinggan",5778,5641,137,6324,6153,171,64,2,60,3
"2023-09-30","BPN","Sepinggan",5830,5821,9,6056,6056,0,59,1,55,3
"2023-10-01","BPN","Sepinggan",7837,7703,134,8195,8019,176,63,2,66,3
"2023-10-02","BPN","Sepinggan",6660,6482,178,7640,7516,124,68,1,68,3
"2023-10-03","BPN","Sepinggan",6012,6012,0,6291,6291,0,60,1,60,1
"2023-10-04","BPN","Sepinggan",7587,7301,286,8586,8346,240,67,3,67,5
"2023-10-05","BPN","Sepinggan",7284,7284,0,7085,6578,507,61,3,62,1
"2023-10-06","BPN","Sepinggan",7439,7300,139,6376,6231,145,16541,2,64,1
"2023-10-07","BPN","Sepinggan",6300,6300,0,6311,6311,0,62,1,59,3
"2023-10-08","BPN","Sepinggan",7104,6947,157,7744,7627,117,63,2,66,2
"2023-10-09","BPN","Sepinggan",6236,6085,151,7658,7534,124,61,1,61,2
"2023-10-10","BPN","Sepinggan",6628,6628,0,6610,6610,0,61,1,60,2
