"","x"
"480",17682.8571428571
"481",17130.2857142857
"482",16955.8571428571
"483",16958.2857142857
"484",16812.4285714286
"485",16666.5714285714
"486",16678.7142857143
"487",16458.5714285714
"488",16418.8571428571
"489",16428.7142857143
"490",16143.2857142857
"491",16242.8571428571
"492",16399
"493",15970.5714285714
"494",15593.7142857143
"495",15480.2857142857
"496",15334.1428571429
"497",15231.8571428571
"498",14926.1428571429
"499",14731
"500",15120.1428571429
"501",15323.1428571429
"502",15096
"503",15052.8571428571
"504",14871.4285714286
"505",14752.8571428571
"506",14688.7142857143
"507",14177.2857142857
"508",13810.4285714286
"509",14008
"510",13897.4285714286
"511",13935.2857142857
"512",13506.5714285714
"513",13424.1428571429
"514",13575.2857142857
"515",13820.8571428571
"516",13569
"517",13607.8571428571
"518",13703.8571428571
"519",14199.4285714286
"520",14470.5714285714
"521",14717.4285714286
"522",14871
"523",15018.5714285714
"524",15177.1428571429
"525",15253.2857142857
"526",15319
"527",15196.8571428571
"528",15531.2857142857
"529",15868.7142857143
"530",15766
"531",14909.8571428571
"532",14819.8571428571
"533",14889.8571428571
"534",14966.2857142857
"535",14657.5714285714
"536",14572.8571428571
"537",15008.8571428571
"538",16184.2857142857
"539",16649.7142857143
"540",17002.4285714286
"541",17268.2857142857
"542",17736.1428571429
"543",17863.8571428571
"544",18014.4285714286
"545",17931.5714285714
"546",18067
"547",18008
"548",18094
"549",18078.5714285714
"550",18140.8571428571
"551",17993
"552",18149.1428571429
"553",18092.5714285714
"554",18164.7142857143
"555",18274.1428571429
"556",18168.4285714286
"557",18295.5714285714
"558",18388
"559",18257.5714285714
"560",17998.4285714286
"561",16240.5714285714
"562",15666.8571428571
"563",15450.7142857143
"564",15078.2857142857
"565",14741.7142857143
"566",14394.7142857143
"567",14141.1428571429
"568",15428.4285714286
"569",15440.5714285714
"570",15273.5714285714
"571",15048.7142857143
"572",14854.5714285714
"573",14688.2857142857
"574",14533.1428571429
"575",14414.1428571429
"576",NA
"577",NA
"578",NA
