"","Data","Trend","Remainder"
"61",16355,15016.6192,1338.38080000001
"62",12975,15016.1344,-2041.1344
"63",11310,15017.9136,-3707.91359999999
"64",14855,15035.328,-180.327999999994
"65",15708,15048.7456,659.254400000007
"66",12780,15059.7568,-2279.7568
"67",14576,15077.8912,-501.891199999995
"68",13342,15102.0864,-1760.08639999999
"69",13506,15136.1136,-1630.11359999999
"70",14217,15178.6,-961.599999999995
"71",14722,15229.8336,-507.833599999994
"72",14222,15291.2688,-1069.26879999999
"73",13533,15363.1168,-1830.11679999999
"74",16724,15441.92,1282.08000000001
"75",16812,15518.4448,1293.55520000001
"76",16183,15595.2608,587.739200000009
"77",17085,15674.3136,1410.68640000001
"78",18179,15751.5632,2427.43680000001
"79",16510,15823.2064,686.793600000008
"80",16540,15893.1008,646.899200000009
"81",17668,15961.9616,1706.03840000001
"82",17011,16023.4464,987.553600000008
"83",17580,16077.44,1502.56000000001
"84",17861,16121.1984,1739.80160000001
"85",18963,16158.9712,2804.02880000001
"86",17410,16186.4496,1223.55040000001
"87",11428,16206.8832,-4778.88319999999
"88",16622,16235.8144,386.185600000004
"89",10330,16255.744,-5925.744
"90",13890,16290.7904,-2400.7904
"91",13775,16330.5264,-2555.5264
"92",17185,16370.2816,814.718400000005
"93",16284,16400.8448,-116.844799999995
"94",16101,16423.1696,-322.169599999994
"95",18605,16437.072,2167.928
"96",17861,16435.8816,1425.1184
"97",17678,16422.3792,1255.6208
"98",17083,16395.3648,687.635199999997
"99",17809,16358.2464,1450.7536
"100",17548,16311.0784,1236.9216
"101",18218,16255.3552,1962.6448
"102",19093,16187.9792,2905.0208
"103",17800,16109.1136,1690.8864
"104",17013,16024.4688,988.531199999996
"105",17312,15929.432,1382.568
"106",17203,15827.4912,1375.5088
"107",13698,15720.8448,-2022.8448
"108",14502,15619.2592,-1117.2592
"109",16936,15520.6544,1415.3456
"110",15007,15419.3968,-412.396800000002
"111",14062,15321.7216,-1259.7216
"112",15192,15225.4688,-33.4688000000042
"113",16308,15119.5648,1188.4352
"114",15253,15005.4144,247.585599999997
"115",15003,14876.5936,126.406399999996
"116",14782,14740.8624,41.1375999999946
"117",14049,14602.1984,-553.198400000003
"118",14077,14468.7264,-391.726400000003
"119",13432,14338.7312,-906.731200000004
"120",13560,14214.5648,-654.564800000002
"121",13305,14097.568,-792.568000000003
"122",12689,13987.6192,-1298.6192
"123",14318,13886.648,431.351999999995
"124",12613,13789.552,-1176.552
"125",12937,13701.664,-764.664000000004
"126",12970,13619.5552,-649.555200000004
"127",13920,13548.4192,371.580799999996
"128",13809,13484.2496,324.750399999995
"129",11021,13426.0576,-2405.05760000001
"130",13769,13380.4976,388.502399999996
"131",13797,13340.6112,456.388799999993
"132",13548,13304.84,243.159999999993
"133",13287,13267.4672,19.5327999999936
"134",14353,13234.8448,1118.15519999999
"135",13290,13203.4624,86.5375999999924
"136",11603,13175.5824,-1572.58240000001
"137",12924,13152.8672,-228.867200000006
"138",10840,13134.5088,-2294.50880000001
"139",11007,13128.3024,-2121.3024
"140",11797,13130.48,-1333.48000000001
"141",13956,13142.4928,813.507199999995
"142",14158,13153.7552,1004.24479999999
"143",14043,13164.5216,878.478399999995
"144",14406,13172.5104,1233.48959999999
"145",12996,13178.7744,-182.774400000009
"146",13154,13186.728,-32.7280000000101
"147",13311,13193.4624,117.537599999991
"148",13975,13201.8848,773.115199999991
"149",13172,13209.3104,-37.3104000000094
"150",11938,13216.024,-1278.02400000001
"151",14580,13226.2944,1353.70559999999
"152",13101,13232.8832,-131.883200000013
"153",13554,13241.2288,312.77119999999
"154",12924,13246.1488,-322.14880000001
"155",13772,13244.232,527.767999999989
"156",12963,13241.992,-278.992000000011
"157",12397,13239.7088,-842.708800000011
"158",15041,13238.4496,1802.55039999999
"159",12545,13235.9696,-690.969600000011
"160",13762,13239.1904,522.809599999988
"161",12372,13239.3216,-867.32160000001
"162",13379,13244.304,134.695999999989
"163",12967,13250.1424,-283.142400000012
"164",12001,13253.9344,-1252.93440000001
"165",14738,13257.112,1480.88799999999
"166",12661,13255.76,-594.760000000011
"167",13957,13258.4528,698.54719999999
"168",12273,13260.3168,-987.316800000011
