,trend
364,12095.754232141517
365,12066.624135960776
366,12009.615528895227
367,12039.014642584114
368,12050.51386005617
369,11874.547360052718
370,11550.155920484442
371,11258.557510008504
372,11123.935572472301
373,11064.593020320106
374,11024.45803059086
375,11028.125703791731
376,11060.835322707087
377,11062.764307692183
378,10998.620640700672
379,10942.68926522513
380,10955.35149645986
381,10882.49373458806
382,10695.17798121785
383,10526.119162681623
384,10529.524020278106
385,10711.607377728507
386,10884.232208009522
387,10950.309340488027
388,10964.914474492405
389,10939.776985913075
390,10864.231073314191
391,10681.185465949475
392,10366.574616965238
393,9964.619968586529
394,9552.997165356912
395,9282.501991684925
396,9144.462486425702
397,9029.257967360869
398,8863.433501784013
399,8715.719193199455
400,8676.91496351108
401,8722.916775058846
402,8789.771050064937
403,8917.463946422782
404,9061.648188046875
405,9162.232043940758
406,9242.24419570673
407,9280.004584622533
408,9262.344869767185
409,9276.1513927345
410,9359.866628332413
411,9544.53852041915
412,9853.363203347044
413,10236.016236097752
414,10654.86413329126
415,11026.207652870777
416,11322.329268157433
417,11459.157137043685
418,11483.118194587327
419,11564.273286399328
420,11654.262967689358
421,11639.309296966585
422,11638.040624891408
423,11771.981628141897
424,12109.45906096084
425,12510.630799148774
426,12886.686644227117
427,13291.521612528113
428,13787.966969780742
429,14272.610795518473
430,14483.788654127038
431,14308.634221839338
432,13897.239292266706
433,13284.125265819752
434,12523.716201038385
435,11697.740849347947
436,10936.570701388051
437,10323.975183923203
438,9881.511287741489
439,9636.338593385182
440,9605.344017486179
441,9717.028466805776
442,9984.266680655179
443,10318.361515267372
444,10618.189330366287
445,10829.443370937977
446,10959.047447133535
447,11084.310150257963
448,11229.626476066256
449,11334.178062963709
450,11363.892465499657
451,11376.927132900475
452,11589.785970108043
453,12086.767939309677
454,12786.66075304274
455,13650.820431570392
456,14659.848929974558
457,15807.743569519205
458,16965.293421010734
459,17929.080154686988
460,18475.74700948838
461,18410.759672021657
462,17757.36509321891
463,16743.671646908464
464,15686.200040384847
465,14960.569743264092
466,14769.740538598673
467,15089.420554004217
468,15780.946843955278
469,16735.729992426914
470,17798.22525864378
471,18750.3475268035
472,19383.94733162361
473,19533.110869449698
474,19248.83116982432
475,18842.7576629255
476,18528.501626357494
477,18284.868224564227
478,18013.845240173938
479,17671.44234433082
480,17313.482195538778
481,17073.211534804323
482,16943.25995322012
483,16812.884626294934
484,16678.01988852847
485,16572.65497095129
486,16494.427728218434
487,16432.267912457806
488,16377.78325918129
489,16337.20002628404
490,16278.026533367074
491,16141.86560671954
492,15915.06230298423
493,15670.356808008395
494,15488.580177081587
495,15346.876507355084
496,15192.895510467351
497,15038.212445332641
498,14971.983484643088
499,15029.127822095616
500,15112.668791547212
501,15117.49707986019
502,15027.36570599511
503,14911.46548328905
504,14763.998646637
505,14524.457990157427
506,14229.017655679629
507,14008.423403597353
508,13928.73005378451
509,13898.510754498304
510,13792.023882815318
511,13660.156499080122
512,13577.20875391664
513,13578.881319657914
514,13618.953240771822
515,13643.329608347067
516,13693.634255466959
517,13865.617323355797
518,14150.586065502044
519,14449.877249310359
520,14673.03587239453
521,14845.856019986331
522,15008.702541298326
523,15145.491025699246
524,15229.74264173792
525,15283.272725036486
526,15381.726155409877
527,15539.03223559506
528,15612.769304474145
529,15454.74677786286
530,15177.05358835567
531,14970.48063859369
532,14884.99483707726
533,14824.35463907398
534,14775.74585674056
535,14877.41504923106
536,15279.262752118375
537,15907.664980654665
538,16535.128548684934
539,16988.736835963067
540,17336.244411578416
541,17623.186308665216
542,17825.67592472488
543,17922.065719975566
544,17960.209456642035
545,17999.458206688105
546,18046.312996125125
547,18084.149670964885
548,18103.665257167515
549,18092.90906835833
550,18086.3207744567
551,18085.618022058494
552,18122.107384608735
553,18168.717873895017
554,18201.295058927575
555,18245.565054120085
556,18287.22380200774
557,18284.853767395885
558,18063.638720935563
559,17431.42395472314
560,16626.100219117725
561,15921.377669688361
562,15431.358283987614
563,15079.36204864134
564,14758.643518614106
565,14575.479444081075
566,14670.885769894927
567,14986.437131682256
568,15262.29569264573
569,15241.744505306156
570,15067.431959680727
571,14871.474131269084
572,14684.834109480147
573,14545.609119486136
574,14413.219778890056
575,14265.149063473293
576,14134.978000244491
577,14020.21029975364
578,13947.002767705475
579,13942.366164110937
580,14001.283020170322
581,14073.993394600555
582,14174.873481845372
583,14419.085042701718
584,14688.015962189313
585,14968.836802437352
586,15253.042050513934
587,15537.60830149836
588,15822.157541785533
