,seasonal
415,174.40433494281953
416,17.139495221773988
417,-112.36239727457242
418,106.74043107721006
419,-1115.8487769568517
420,399.57557460532513
421,445.4257145903114
422,34.54994773034974
423,231.13033133660275
424,-428.5715464276011
425,334.2831491674391
426,-354.6769146352143
427,60.78878058013619
428,-58.67753822049035
429,-178.7024296071564
430,584.5728175137373
431,-717.1789675518746
432,569.6275416808146
433,343.03323334305367
434,-168.2909598085564
435,-487.50235104392794
436,-399.0722385944971
437,646.9438604075252
438,-887.0469106462091
439,718.7040546850288
440,851.7185869033544
441,-90.88878603520433
442,-447.7613158206167
443,-477.25055705378765
444,163.8748995073727
445,-1129.3329266102585
446,689.7954756310048
447,983.8020895103283
448,266.2775078144338
449,60.690830312814
450,-411.38600304425626
451,-380.14909245428134
452,-1494.7106477606867
453,550.5906523785668
454,883.8058450688081
455,705.2912012692693
456,553.4929551401661
457,-353.75667131537483
458,-561.8639648727309
459,-1785.4655159542904
460,233.27220855971217
461,652.5917855635056
462,1099.4847076906128
463,883.3567265658793
464,-319.99209462991547
465,-471.6329023737813
466,-1845.7740392591759
467,-110.80549407952267
468,268.27670575362293
469,1451.7575768204222
470,1087.218428113947
471,-293.25883031939327
472,-293.8023872550654
473,-1724.3521987521626
474,-445.2715554393338
475,-212.85969812253924
476,1713.5925138784107
477,1178.8142962519833
478,-356.7205603538998
479,36.13079508313835
480,-1504.8653124325847
481,-590.7709305495542
482,-614.9538416036621
483,1750.4948412476294
484,1064.4487939924647
485,-606.645551690706
486,495.7229583580382
487,-1054.3452412163667
488,-552.2547262904958
489,-965.9810489345698
490,1596.4206983151748
491,770.9762516430692
492,-913.9715631762282
493,836.5004143750801
494,-468.5707385909459
495,-344.22438689895716
496,-1173.860442116359
497,1347.448270960084
498,547.473645193743
499,-1140.2665011374381
500,909.434837603209
501,-58.30276591859888
502,-93.71718481034031
503,-1286.4543186451765
504,1134.8581505006416
505,456.3557403844518
506,-1255.2356652404912
507,826.2482758942461
508,128.7276014750727
509,190.7793969947177
510,-1153.634267698022
511,986.4555391795647
512,180.3473485773814
513,-1329.6428563520353
514,757.0081929293202
515,179.58559608306098
516,436.6151507641383
517,-884.3171304994362
518,888.7054788287574
519,-140.13545992706557
520,-1321.3234113029282
521,709.4014142117957
522,108.6346531089098
523,637.5122949732029
524,-660.4152047963406
525,792.416436184576
526,-378.15454177791787
527,-1257.7431799170931
528,733.0949930550978
529,20.01730046397385
530,759.7778621956259
531,-507.9648210940797
532,675.7461361106253
533,-485.20501769605784
534,-1189.9910128664608
535,646.7399538243426
536,-61.04965525259954
537,881.1099905148243
538,-302.958473656257
539,625.9819888195148
540,-451.13586383869483
541,-1112.1043790169074
542,210.14947953767287
543,-113.16105066439637
544,973.8831039327538
545,-128.1609991759458
546,723.8230281367502
547,-275.7358495177385
548,-1056.3235459370346
549,-269.7315833906493
550,-134.19199856436794
551,975.2215682677714
552,-86.41767900485095
553,819.5712268973681
554,-86.769633944102
555,-1082.252426678665
556,-357.9710317498702
557,-154.4723099796358
558,907.5930340816935
559,-85.36025847916366
560,736.6003367220624
561,106.42254294565805
562,-1057.9579411346206
563,-429.17831978063595
564,-185.24446496179073
565,839.5823425413163
566,-43.26732304285108
567,677.2508337696407
568,297.72165254860334
569,-1037.0542531018627
570,-543.5195743092881
571,-217.60675671626262
572,785.9706426536168
573,16.17498033388819
574,619.9772712440354
575,463.0166623450883
576,-1030.6461530814697
577,-613.756633246771
578,-253.6237250997162
579,734.2799796297027
580,72.93565052711459
581,547.8070876662022
582,593.4106066060735
583,-1034.9179860889196
584,-603.1806593054639
585,-296.52385183106077
586,675.2131487027436
587,120.7845774794801
588,456.3784684510524
